,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
0,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-Debug,4480.46,4452.41,4349.15,4102.75,4573.82,4650.28,4295.56,4388.28,4542.53,4433.59,2945.03,3707.06,2877.42,2939.28,3762.4,2903.37,2996.5,2903.66,2959.72,2930.62,2962.54,3042.1,2957.16,2976.83,2981.94,2962.82,3796.91,2998.49,2981.52,2923.85,3016.85,2920.34,2961.88,3773.37,2992.38,2965.57,2852.29,3672.95,3660.43,3202.13,2977.1,2902.93,3663.98,2922.57,2906.53,2916.47,2911.88,2937.4,2956.44,2923.22,3356.2952000000014,368540.8902581224
1,qdd-gfortran-linux-FFTW-OMP-DYN-noStatic-noDebug,4722.4,4905.56,4836.35,4617.47,4577.34,4270.92,5013.04,4440.67,4365.1,5089.08,3464.25,3023.38,3991.72,4049.77,3902.13,3995.33,3377.07,3053.14,3985.91,3985.65,3134.62,3860.36,4161.22,3215.04,3831.25,3288.68,3145.5,3147.53,3991.75,3108.36,4008.54,3290.35,4031.26,3147.82,4099.0,3936.97,3185.25,3880.85,3893.94,3264.0,3269.85,3249.59,3159.84,3101.39,3164.98,3209.58,3230.48,3451.01,3157.45,3252.7,3750.708800000001,358488.2450760817
2,qdd-gfortran-linux-FFTW-OMP-noStatic-Debug,4141.28,5313.03,4908.81,5525.09,5382.02,5097.25,5760.35,5210.77,5483.68,5573.45,3902.17,3900.86,4120.75,3653.55,4725.05,3628.0,4482.34,3819.61,4717.33,3793.18,3635.97,4686.68,3677.97,4823.26,3924.03,3703.66,3737.28,4486.99,3676.67,4688.74,4101.61,3911.38,4107.96,3974.11,3789.68,4401.32,4081.06,4300.82,3568.43,3719.79,4801.46,3577.32,4758.07,3748.43,4068.02,3651.45,4728.01,4654.32,3862.91,3782.78,4315.375,397758.5230500001
3,qdd-gfortran-linux-FFTW-OMP-noStatic-noDebug,5776.5,5859.94,6307.44,6387.29,5825.54,5772.15,5965.17,5966.43,5880.15,6238.92,4252.38,4018.35,3864.69,4133.9,4815.27,3705.22,4963.11,4195.04,4063.53,4317.9,4400.8,4722.57,4273.5,4082.74,4774.58,4171.4,4414.56,3858.41,4099.57,3981.28,4819.85,3652.1,4692.51,3711.7,4880.26,3929.8,3866.92,5048.55,3876.76,3934.77,4197.51,3926.25,4894.07,4236.02,3854.84,4877.47,4208.62,4165.7,4133.54,4014.06,4600.1926,631572.942648204
4,qdd-gfortran-linux-FFTW-noOMP-noStatic-Debug,4302.52,4169.52,4178.8,4330.73,4279.59,4147.21,4088.47,4146.43,4143.54,4155.64,2711.58,2714.08,2714.17,2715.61,2716.85,2718.23,2719.63,2720.4,2719.26,2717.67,2716.34,2716.23,2714.87,2714.69,2714.57,2713.99,2713.27,2713.62,2714.88,2714.97,2713.13,2713.54,2714.3,2714.1,2714.73,2714.18,2713.73,2713.93,2712.51,2712.74,2715.99,2716.42,2716.42,2716.93,2719.48,2718.67,2717.73,2718.33,2716.93,2715.76,3011.3382000000006,358148.45972118375
5,qdd-gfortran-linux-FFTW-noOMP-noStatic-noDebug,4152.91,4155.73,4126.18,4159.25,4434.55,4455.93,3825.94,4054.11,4445.1,5002.23,2715.27,2714.87,2714.75,2714.13,2714.21,2715.45,2714.24,2714.38,2716.15,2715.57,2714.89,2713.75,2714.61,2714.91,2714.09,2714.43,2714.69,2715.27,2715.24,2714.58,2714.75,2714.34,2714.4,3497.46,2727.3,2716.63,2717.75,2718.53,2720.3,2721.03,2721.34,2720.45,2720.81,2719.95,2718.12,2718.14,2716.67,2715.71,2715.61,2715.98,3045.0536000000006,420943.04043575516
6,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-Debug,4474.88,4894.77,5092.02,5160.83,5113.15,5069.86,4511.93,4657.51,4983.65,4690.71,3350.62,3257.92,3316.91,3000.41,3251.86,3117.83,3369.92,3086.62,2994.1,3289.69,3068.01,3336.46,3304.04,3068.51,3262.75,3213.42,3128.93,3388.3,3223.58,3247.05,3277.02,3320.68,3047.17,3295.29,3306.48,3182.12,3081.89,3766.27,3087.41,3129.96,3181.38,3236.32,3106.36,3414.56,3099.69,3383.46,3112.09,3121.6,3036.89,3259.98,3547.4572000000003,472351.60593485704
7,qdd-gfortran-linux-MKL-OMP-DYN-noStatic-noDebug,5319.9,5868.49,5867.33,6070.16,5925.75,5727.84,5954.63,6138.13,6243.02,5757.73,3477.36,3814.48,3777.09,3920.26,3495.02,3698.79,3980.06,3816.57,3487.31,3474.18,3910.66,4285.81,3801.61,4261.06,3485.4,3613.81,3516.16,3639.76,3453.23,3755.65,3817.66,3379.56,3967.81,3501.97,3863.22,3859.59,3455.75,3598.56,3727.49,3872.86,3589.75,3557.12,3641.68,3977.26,3535.23,3810.45,3411.29,3447.49,3853.8,3421.72,4136.550199999999,834760.4466632244
8,qdd-gfortran-linux-MKL-OMP-noStatic-Debug,5880.91,5961.37,5810.26,6104.05,6036.51,6118.92,5996.38,5976.35,5986.4,5940.41,3897.0,3913.66,3825.78,3911.12,3843.87,3860.63,4008.41,4407.17,3675.42,4330.22,3881.26,3912.07,4180.08,3544.5,3957.82,4051.8,4474.03,3609.67,3971.88,4059.35,3984.3,4067.86,4292.86,3526.97,4102.01,3868.36,4330.79,3708.37,3927.74,3826.69,3641.02,4064.31,3621.59,3880.97,4484.39,3919.93,3766.06,3788.0,3862.76,3521.56,4346.2768,732892.9393773063
9,qdd-gfortran-linux-MKL-OMP-noStatic-noDebug,5761.67,5460.66,6341.63,6289.45,6184.98,6198.51,6256.68,6201.67,6244.89,6156.28,3788.12,3668.36,3937.38,4129.59,3809.93,3822.11,4434.93,3950.36,4080.42,4140.58,4241.53,4065.54,3559.13,4043.51,3792.64,4241.97,3877.6,4160.39,3932.65,3742.05,3861.02,3788.83,4296.99,3939.22,3982.57,4236.86,4167.57,4197.93,4032.51,4072.39,4023.03,3984.53,4113.39,4239.91,3846.0,4027.71,3904.2,4005.62,4190.76,3703.74,4422.5998,769737.7542060816
